title,records,taxa,org_country
Weddell Seal census, Vestfold Hills, Antarctica,9206,2,AU
Marsh Monitoring Program - Birds,9191,41,CA
Free-living marine Nematodes from San Julián bay (Santa Cruz, Argentine), 2009.,9161,71,AR
RSPB - Wader survey on Uist in 2007 (RSPB/BTO),9131,5,GB
Distribution of planktic foraminifers of core V30-40,9130,22,DE
Royal Botanic Garden Edinburgh Herbarium (E),9118,877,GB
Cumbria Biodiversity Data Centre - Norman and Florence Hammond records.  Seawatch and coastal survey records.,8987,566,GB
City of Amsterdam (NL) - Fyke Fishing Piet Ruiter,8831,50,NL
Marine Biological Association - Marine Life Survey Data (collected by volunteers) collated by <i>MarLIN</i>,8818,433,GB
Natural History Museum Rotterdam (NL) - Chordata collection,8805,481,NL
Inventaire National du Patrimoine Naturel : Données Benthos du Réseau des Stations et Observatoires Marins,8760,157,FR
Fish Collection of Natural History Museum and Institute, Chiba,8704,1342,JP
NPL collections,8670,3291,US
Colección Nacional de Foraminíferos - Museo Argentino de Ciencias Naturales 'Bernardino Rivadavia',8668,1566,AR
Sistema de Información de la vegetación Ibérica y Macaronésica,8652,22,ES
Marine and Coastal Management - Demersal Surveys (years 2006-) (AfrOBIS),8615,235,
(Appendix A) Abundances of planktonic foraminifera in mid-Pleistocene sediments of ODP Site 184-1144 in the South China Sea,8550,24,DE
UAM Fish Collection (Arctos),8537,474,US
Fish collection, Natural History Museum, University of Oslo,8517,1490,NO
Benthic foraminifera abundance in counts of Hole PRAD1-2,8516,122,DE
Polycystine Radiolarians from the water column and the surface sediments of the World Ocean (OBIS South America, SOUTHERN OCEAN SUB-NODE),8499,213,
Distribution of planktonic foraminifera in sediment core MD01-2443,8443,25,DE
Atlas Nacional de Anélidos Poliquetos de México (ICMyL-DF, UNAM),8401,640,MX
Ophiuroidea collections of the Zoological Institute Russian Academy of Sciences,8377,187,RU
Floristic Databases of Mecklenburg-Pomerania - Higher Plants,8366,23,DE
Freshwater Fish Specimens of Lake Biwa Museum,8335,239,JP
Joint Nature Conservation Committee - Scotland Otter Survey Database,8332,1,GB
Distribution of planktic foraminifers of core RC24-16,8324,22,DE
Colección Nacional de Equinodermos Mexicanos (ICMyL-DF, UNAM),8312,671,MX
ArtenFinder,8295,102,DE
Vertebrate Zoology Division - Ornithology, Yale Peabody Museum,8268,448,US
(Table 5) Percentages of planktonic foraminiferal taxa from the 161 surface-sediment samples from the South China Sea and the western Pacific,8241,26,DE
Tunicates collection (IT) of the Muséum national d'Histoire naturelle (MNHN - Paris),8176,1542,FR
UK Cetacean Strandings Investigation Programme - Stranded cetacean data from Great Britain collected from 01/01/89 through to 31/03/10,8140,20,GB
National Taiwan University,8140,1566,TW
Bolus Herbarium Algal Specimen Database (AfrOBIS),8107,538,
N3 data of Kiel bay (EurOBIS),8101,137,
Scottish Wildlife Trust - Commissioned surveys and staff surveys and reports for SWT reserves. ,8046,204,GB
KU Museum of Invertebrate Paleontology,7989,236,US
KUBI Ichthyology Collection,7939,1679,US
(Table T1) Miocene planktonic foraminiferal stratigraphy of ODP Hole 184-1148A,7930,13,DE
Crustacea Collection of Natural History Museum and Institute, Chiba,7914,2244,JP
Distribution of 15 major fish species in the North Sea between 1959 and 1979,7910,12,DE
AIMS - LTM Nearshore Corals (OBIS Australia),7894,308,
Humber Environmental Data Centre - Humber Environmental Data Centre - Non Sensitive Records from all taxonomic groups,7884,112,GB
The First Atlas of Breeding Birds in Britain and Ireland: 1968-1972.,7853,41,IE
Crustacea specimens of Toyama Science Museum,7822,243,JP
Distribution of planktic foraminifera of sediment core M35003-4,7758,27,DE
Akita Prefectural Museum:Hiroki Watanabe Collection of mollusca,7744,1655,JP
Herbarium of The New York Botanical Garden,7711,1618,US
Limnodata,7657,56,SE
Collection Cnidaria SMF,7644,1297,DE
ORN,7632,434,US
PSM Vertebrates Collection,7608,291,US
KUBI Ornithology Collection,7596,349,US
(Table 1) Distribution of planktonic foraminifera in ODP Site 130-806,7590,32,DE
Bird specimens,7539,347,US
Nationaal Herbarium Nederland,7468,1496,NL
Rådgivende Biologer,7413,545,NO
Collection Bryozoa SMF,7359,882,DE
All Ireland Non-Marine Molluscan Database,7336,26,IE
Environment Agency - Environment Agency Non-native Species records v1,7297,23,GB
Western Palearctic migratory birds in continental Africa,7269,69,DK
Wetland Inventory (NV),7223,80,SE
Crustacean specimen detabase of Kanagawa Prefectural Museum of Natural History,7173,642,JP
Southern Ocean octopus,7140,23,
Snow Petrel census, Reeve Hill, Windmill Island, East Antarctica (1984-2003),7139,1,AU
Korea Bird Distribution Atlas Database,7129,84,KR
Whale catches in the Southern Ocean,7122,6,AU
Zoological Museum Amsterdam, University of Amsterdam (NL) - Coelenterata,7114,1434,NL
Biological Records Centre - Mammal records from Britain from the Atlas of Mammals (1993), with some subsequent records,7079,7,GB
Insect (KNAM-IN),7066,5,KR
AWI-Herbarium Marine Macroalgae,7055,363,DE
Herbarium, Botany Unit, Finnish Museum of Natural History (H),7035,21,FI
Ontario Nest Records,7024,44,CA
AUM Fish Collection,7017,993,US
Fossil collection (F) of the Muséum national d'Histoire naturelle (MNHN - Paris),7007,2842,FR
Ohio State University Fish Division (OSUM),7001,274,US
Australian National Wildlife Collection provider for OZCAM,6996,369,AU
RSPB - Stone-curlew Annual Surveys (RSPB/Natural England),6992,1,GB
Vegetation data from protected areas in Denmark (§ 3 in the Danish Nature Protection Act),6984,95,DK
Merseyside BioBank - North Merseyside Birds (unverified),6972,94,GB
Inventaire National du Patrimoine Naturel : Crustacés Décapodes de France,6907,277,FR
Snow Entomological Museum Collection,6888,47,US
(Figure 6) Distribution of planktic foraminifera of ODP Hole 159-958A,6885,30,DE
Field Museum of Natural History (Zoology) Amphibian and Reptile Collection,6876,63,US
New Zealand Fungal and Plant Disease Collection (PDD),6851,1112,NZ
Fish Specimens of Museum of Tokushima Prefectural Museum, Japan,6801,603,JP
National Institute of Marine Sciences and Technologies - Trawl Surveys (AfrOBIS),6777,187,
Monitoring data from the federal state Hesse (Germany),6777,80,DE
NCOS1959_Echinodermata (OBIS China),6773,252,
Distribution of planktic foraminifers of core V30-36,6732,22,DE
Herbario del Departamento de Biología Vegetal (Botánica) de la Universidad de La Laguna, Tenerife (TFC),6719,375,ES
Countryside Council for Wales - Welsh Invertebrate Database (WID),6662,364,GB
SOMBASE PYCNOGONIDS,6660,329,GB
DMNS Bird Collection (Arctos),6644,273,US
Distribution of dead benthic foraminifera in surface sediments of the Norwegian Sea (Table 3),6590,142,DE
Fish Specimens,6578,57,US
Relative abundance of planktic foraminifera in sediment core GeoB1309-2,6555,26,DE
Antarctic Amphipod Crustaceans: Ant'Phipoda Database (BIANZO),6536,792,
SBMNH Vertebrate Zoology,6518,738,US
Monitoring data from the federal state Saxony (Germany),6505,81,DE
Shellfish Specimens of Miyazaki Prefecture Museum of Nature and History,6497,600,JP
The Scottish Ornithologists' Club - South East Scotland Tetrad Atlas 1988 - 1994 - non-sensitive breeding species,6486,37,GB
Yorkshire Wildlife Trust - Yorkshire Wildlife Trust - Non-sensitive records from all taxonomic groups,6431,173,GB
Irish Wetland Birds Survey (I-WeBS) 1994-2001.,6430,96,IE
(Table T6) Foraminifer distribution in ODP Hole 188-1167A sediments,6401,37,DE
Invertebrate specimens in the Wakayama Prefectural Museum of Natural History, Japan.,6398,3934,JP
KUBI Ichthyology Tissue Collection,6373,2137,US
Echinoderm collection of National Museum of Nature and Science,6233,789,JP
Assemblage of planktonic foraminifera for the last glacial maximum (LGM) in sediment cores from the South Atlantic,6176,31,DE
Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,6138,328,AU
Planktic foraminiferal assemblage for the 10kyr time slice from different sediment cores,6119,28,DE
Fungal Biodiversity Centre (CBS) - Fungi strains,6087,1819,NL
globec/soglobec/process/krill,6011,5,
South Western Pacific Regional OBIS Data Bryozoan Subset (South Western Paci fic OBIS),5994,511,
Colección de Anélidos Poliquetos del Pacífico Mexicano (UANL),5990,570,MX
Gothenburg Herbarium - General (GBIF:IH:GB:Herbarium),5908,330,SE
PEUFR - Herbário Professor Vasconcelos Sobrinho,5890,376,BR
Marine and Coastal Management - Demersal Surveys (years 1983-1985) (AfrOBIS),5869,74,
British Lichen Society - BLS Lichen Database: Wales,5862,83,GB
(Table 1) Occurrence of selected planktonic foraminifers, other microfossils, and lithologic components at DSDP Hole 96-619,5861,28,DE
Dead benthic foraminifera in South Atlantic surface sediments,5830,96,DE
Provincial Museum of Alberta, Edmonton, AB, Canada. Birds (Aves),5821,278,CA
Belgian Coccinellidae - Ladybird beetles in Belgium,5819,1,BE
Nannofossil assemblage in surface sediments,5790,29,DE
Birds (JNHM-BI),5763,86,KR
Cumbria Biodiversity Data Centre - Cumbria Biodiversity Data Centre. Vertebrate Observation Records, other than Birds. Pre-2010 for Cumbria,5758,50,GB
Planktonic foraminifera in ODP Hole 160-963A,5750,11,DE
(Appendix 3) Assemblage of benthic foraminifera in sediment core M5/2_KL15,5718,90,DE
(Table 9) Percentages of planktonic foraminiferal taxa from Site GIK17940,5695,25,DE
Relative abundance of benthic foraminifera in sediment core M5/2_KL15,5681,87,DE
Distribution of planktonic foraminifera in sediment core MD95-2041,5675,24,DE
Merseyside BioBank - North Merseyside Birds (verified),5660,70,GB
Inland Fisheries Ireland data on freshwater fish in Irish lakes,5629,22,IE
Highland Biological Recording Group - HBRG Vertebrates (not Badger) Dataset,5604,45,GB
Histroical benthic dredge samples from the southern baltic and the North Sea (EurOBIS),5599,492,
Snow Petrel nest census, Mawson region 2004/05,5588,2,AU
Visfauna - Juvenile and adult fishes in riparian habitats along the river Yser in Flanders, Belgium,5580,18,BE
Bishop Museum Data (OBIS distribution) (USOBIS),5580,2160,
Banc de dades de biodiversitat de Catalunya-MolusCat,5557,766,ES
University of Alberta Ichthyology Collection (UAMZ),5488,921,CA
SDNHM Birds Collection,5488,346,US
Distribution of planktic foraminifera of sediment core M35027-1,5472,27,DE
(Appendix 1) Census data of planktic foraminiferal faunas together with estimates of mean annual SST for ODP Site 181-1123,5459,19,DE
North & East Yorkshire Ecological Data Centre - North and East Yorkshire Ecological Data Centre - Non-sensitive Records from all taxonomic groups.,5456,262,GB
Birds collection of Yamashina Institute for Ornithology,5442,257,JP
Fish collection of the Museum of Nature and Human Activities, Hyogo,5432,109,JP
Marine Biological Association - 2005-Ongoing United Kingdom MarLIN Shore Thing timed search results,5421,21,GB
Centre d'Estudis Avançats de Blanes. Limnological Observatory of the Pyrenees,5418,84,ES
Davis Strait and Baffin Bay Zooplankton (OBIS Canada),5400,72,
Staffordshire Ecological Record - SER Species-based Surveys,5361,241,GB
(Supplement 1) Relative abundance of planktic foraminifera in sediments of the last 560 kyr of ODP Hole 165-999A, Caribbean Sea,5323,30,DE
Planktic foraminifera counts of sediment core PS2644-5,5294,1,DE
Ibaraki Nature Museum, Algae collection,5269,249,JP
Distribution of planktic foraminifers of sediment core GIK15612-2,5265,24,DE
Flora Mycologica Iberica Project database,5262,165,ES
CeDoc de Biodiversitat Vegetal: BCN-Phycophyta,5256,334,ES
Jena Microbial Resource Collection (JMRC) at Leibniz Institute for Natural Product Research and Infection Biology e.V. Hans-Knöll-Institute (HKI) and Friedrich Schiller University Jena,5230,172,DE
Harvard University Herbaria,5225,649,US
Anymals+plants - Citizen Science Data,5220,168,DE
Meiobenthos of subtidal sandbanks on the Belgian Continental Shelf (EurOBIS),5201,162,
NCSM Birds Collection,5196,267,US
Free-living Nematodes from Patagonia coastal lagoons (Chubut, Santa Cruz, Argentina).,5193,33,AR
Inventaire National du Patrimoine Naturel : Programme CARTHAM: Inventaire biologique dans le cadre de Natura 2000 en Mer,5161,515,FR
(Table A.01) Planktic foraminiferal census data of sediment core GIK23414-6,5157,17,DE
Missouri Botanical Garden,5150,105,US
Harold W. Manter Laboratory of Parasitology Collection,5135,1243,US
The Scottish Ornithologists' Club - Highland bird data 2002 - 2003 - non-breeding records,5123,91,GB
Gulf of Maine Bottom Trawl Survey Data (NEFSC,NMFS,NOAA)(USOBIS),5115,110,
Marine Invertebrata specimens deposited in the Fukui City Natural History MUSEUM, Japan.,5059,1884,JP
Nest census, Windmill Islands 2002/03,5056,7,AU
Fishes in the Argentine Sea from 1967 to the present time (OBIS South America, SOUTHERN OCEAN SUB-NODE),5012,121,
Museu de Ciències Naturals de Barcelona: MCNB-Malac,4998,777,ES
MGC Herbarium of University of Malaga (Spain): MGC-Algae dataset,4977,855,ES
Free-living marine Nematodes from San Antonio bay (Río Negro, Argentine) 2009.,4966,54,AR
Invertebrates (Type Specimens) of the Swedish Museum of Natural History,4966,2960,SE
CABI Bioscience Genetic Resource Collection,4958,1155,
The Pisces Collection at the Staatssammlung für Anthropologie und Paläoanatomie München,4951,707,DE
DINA,4922,234,SE
University of British Columbia Herbarium (UBC) - Fungi Collection,4913,494,CA
Museo Nacional de Ciencias Naturales, Colección de Malacología,4909,1756,ES
Gwaii Haanas Marine Plants (OBIS Canada),4886,338,
HUEFS - Herbario da Universidade Estadual de Feira de Santana,4876,372,BR
Abundance of benthic infauna in surface sediments from the North Sea sampled during HEINCKE cruise HE133,4851,254,DE
Collection Crustacea - ZIM Hamburg,4757,1153,DE
The Deepwater Program: Northern Gulf of Mexico Continental Slope Habitat and Benthic Ecology - DgoMB: Trawl,4725,135,
The Scottish Ornithologists' Club - Clyde Breeding Bird Tetrad Atlas 1985 - 1991 - non-sensitive species,4723,27,GB
(Table T1) Abundance of planktic forminifera in ODP Site 177-1090,4721,16,DE
Lyman Entomological Museum (LEMQ),4710,38,CA
Merseyside BioBank - North Merseyside Other Taxa (unverified),4680,517,GB
EURISCO, The European Genetic Resources Search Catalogue,4641,27,
Birds (MNHM-BI),4626,39,KR
The Fungal Collection at the Senckenberg Museum für Naturkunde Görlitz,4623,383,DE
SO-Polylist,4610,487,
Mosquito Occurrence Dataset,4609,19,US
Collection Aves (bird skins) SMF,4595,427,DE
ChEssBase (CoML),4578,828,
NCOS (OBIS China),4568,142,
NOAA HML Tidal Creek Database,4554,281,
Ministerio de Medio Ambiente, y Medio Rural y Marino. Dirección General de Medio Natural y Política Forestal. Inventario Nacional de Biodiversidad 2007, Peces Continentales,4535,32,ES
Moluscos de la Colección de Referencia de Biología Marina de la Universidad del Valle (CRM-UV),4512,497,CO
(Table 4) Percentages of planktonic foraminiferal taxa from the 214 surface-sediment samples from the South China Sea and the western Pacific,4480,26,DE
Colección de referencia de otolitos, Instituto de Ciencias del Mar-CSIC,4471,1351,ES
Royal British Columbia Museum,4466,125,CA
Countryside Council for Wales - Welsh Peatland Invertebrate Survey (WPIS),4450,54,GB
Crustacean specimens of Kitakyushu Museum of Natural History & Human History,4440,264,JP
CUMV Bird Collection (Arctos),4435,302,US
Planktic Foraminiferal Species Percentages in GeoB1117-2,4391,26,DE
(Table 1) Distribution of benthic foraminifera on sediment core PS2837,4390,75,DE
Benthic biodiversity along the central coast in the Brazilian EEZ (OBIS South America, BRAZIL) (OBIS South America, BRAZIL),4380,988,
Distribution of planktonic foraminifera of site GeoB1105,4367,24,DE
(Table 2) Plio-Pleistocene benthic foraminifera of ODP Hole 107-654A,4342,149,DE
Real Jardin Botanico, Madrid: MA-Algae,4336,1252,ES
(Table S3) Significant benthic foraminifera species in ODP Hole 164-994C,4305,24,DE
Weddell Sea macrozoobenthos EASIZ I,4304,932,
(Appendix 2a) Foraminiferal analyses of research borehole Sonder Vium,4300,50,DE
Palaeobiology - Vertebrate Fossils Collection - Non Mammalia - Royal Ontario Museum,4292,95,CA
(Appendix B5) Distribution of planktic foraminifera in DSDP Site 90-594 east of New Zealand,4292,13,DE
(Appendix A) Stable carbon and oxygen isotopes and paleoproductivity reconstructions for the last 550 kyr of ODP Hole 130-807A from the Ontong Java Plateau, Pacific Ocean,4278,15,DE
Upper Silesian Museum, Bird Observations,4269,80,PL
Planktic foraminifera counts (census) of sediment core MD96-2080,4259,15,DE
Atlas of Mammals in Ireland 2010-2015,4256,10,IE
(Table 2) Occurrences of planktonic foraminifers in samples from ODP Hole 105-647A,4225,12,DE
DMNS Marine Invertebrate Collection (Arctos),4221,983,US
El Censo Neotropical de Aves Acuáticas en Colombia (CNAA): 2002 - 2011,4193,76,CO
Colección de Radiolarios del Golfo de California, México (ICMyL-DF, UNAM),4192,110,MX
Monitoring data from the federal state Mecklenburg-Western Pomerania (Germany),4175,62,DE
Distribution of planktic foraminifers of core RC13-110,4147,21,DE
Database Schema for UC Davis Wildlife museum,4124,751,US
Vascular Plant Herbarium, Oslo (O),4105,43,NO
(Appendix A) Benthic foraminiferal assemblages in sediments of the last 550 kyr of ODP Hole 130-807A from the Ontong Java Plateau, Pacific Ocean,4092,51,DE
Bergen Museum, Gastropoda,4091,229,NO
FLORIVON,4081,17,NL
Museu de Ciències Naturals de Barcelona: MCNB-Cord,4073,608,ES
iziko South African Museum - Mollusc Collection (AfrOBIS),4067,1417,
(Appendix A) Planktonic foraminifer abundance and ranges of ODP Hole 165-999A sediments,4067,18,DE
REVIZEE South Score / Pelagic and Demersal Fish Database II (OBIS South America, BRAZIL),4064,183,
Marine Biological Association - Volunteer sightings data held by the DASSH Data Archive Centre,4044,328,GB
Planktic foraminifera (%) of sediment core MD96-2085,4038,23,DE
SOUTHERN OCEAN ISOPODA,4001,823,GB
New Mexico Biodiversity Collections Consortium database,3997,138,US
Actualización de la base de datos de crustáceos de la Colección Biológica de la Secretaría de Marina,3987,434,MX
MMNH Museum Bird Collection,3969,299,US
NCSM Vertebrate Paleontology Collection,3953,57,US
EcoRecord - Bird records held by EcoRecord for the Birmingham and the Black Country area collated prior to March 2013,3916,83,GB
Planktic foraminifera abundance of Hole 15-147,3912,28,DE
Live benthic foraminifera in South Atlantic surface sediments,3909,94,DE
Planktic foraminifera assemblage in sediment core SO42-74KL,3905,27,DE
North American Sessile Marine Invertebrate Survey,3902,64,
Natural England - Invertebrate Site Register - England.,3897,291,GB
Bryophytes of Ireland,3885,5,IE
Zoological Museum Amsterdam, University of Amsterdam (NL) - Aves,3865,244,NL
Monitoring data from the federal state Saxony-Anhalt (Germany),3863,72,DE
(Appendix 1) Planktonic foraminifera abundances in ODP Site 181-1123,3846,15,DE
Amphibian and Reptile (NSMK-AR),3841,43,KR
Algae (NSMK-AG),3841,43,KR
MSB Host Collection (Arctos),3825,134,US
RSPB - Black-throated Diver annual records in North Scotland, 1834-2010, RSPB, SNH, NTS, SWT, RBBP, FCS, Museum Collections,3818,1,GB
Fundación Biodiversidad, Real Jardín Botánico (CSIC): Anthos. Sistema de Información de las plantas de España,3783,47,ES
Shropshire Ecological Data Network - Shropshire Ecological Data Network Database,3780,244,GB
Paranaguá Bay - Plankton and Benthos Database (OBIS South America, BRAZIL),3766,57,
Algae herbarium, Trondheim,3744,330,NO
Bird skin collection, Natural History Museum, University of Oslo,3740,106,NO
Vascular Plants, Observations, Oslo (O),3726,13,NO
Biological Records Centre - Millipede (Diplopoda) records for Britain and Ireland to 2005,3721,5,GB
Ditsong Museum,3716,156,ZA
Zooplankton Abundance Based on Taxa and Life Stages or Size,3667,14,
Range table from benthic foraminifers in ODP Hole 154-928A,3664,36,DE
Antarctic Euphausiacea occurence data from German Antarctic Marine Living Resources (GAMLR) Expeditions,3654,6,
(Table 14) Ranges of benthic foraminifers through the Neogene in ODP Hole 115-714B,3630,51,DE
Consortium of California Herbaria,3627,28,US
Planktic foraminifera in surface sediments,3578,23,DE
Benthic foraminifera abundance in per cent of Hole PRAD1-2,3577,26,DE
Dinoflagellate cysts in surface sediments,3574,16,DE
URM - Herbário Pe. Camille Torrand,3571,930,BR
Generic Taxonomic Database System on Mysida and Nematoda,3567,1829,
Institut Mediterrani d'Estudis Avançats: IMEDEA-PALEOVERT,3560,9,ES
MBM - Herbário do Museu Botânico Municipal,3544,273,BR
(Table  9) Occurrences of planktonic foraminifers in selected samples of DSDP Hole 90-587,3531,34,DE
(Table 1) Distribution of planktonic and selected benthic foraminifers from DSDP Site 87-582,3531,38,DE
Distribution of planktic foraminifera in ODP Site 202-1240 samples,3506,20,DE
Cumbria Biodiversity Data Centre - Cumbria Biodiversity Data Centre. Invertebrate Observation Records other than Lepidoptera. Pre-2010 for Cumbria,3504,148,GB
Aves Acuáticas en el Caribe Colombiano Entre 2007 y 2009,3478,45,CO
The New York Botanical Garden Herbarium (NY) - Vascular Plant Collection,3476,110,US
Coelenterata (Cnidaria and Ctenophora) collection of National Museum of Nature and Science,3472,233,JP
Phanerogamic Botanical Collections (S),3467,89,SE
National Biodiversity Data Bank. Observation records, 1900-2014,3447,67,
A dataset from bottom trawl survey around Taiwan,3445,603,TW
Distribution of planktic foraminifers of core 138-846B,3442,14,DE
Taiwan Fisheries Research Institute – Digital archives of coastal and offshore specimens,3435,1353,TW
Occurrence of 13 crabeater seals (Lobodon carcinophaga) from ARGOS satellite track observations during campaign DRE1998,3427,1,DE
Akita Prefectural Museum:Observation Records of Birds in Akita Prefecture,3426,93,JP
Relative abundance of planktic foraminifera in sediment core GeoB2204-2,3420,25,DE
Antarctic Jellyfish,3398,53,
Registros biológicos  en áreas protegidas obtenidos de documentos impresos,3375,526,AR
(Table 10A) Occurrences of planktonic foraminifers in selected samples of DSDP Hole 90-588,3368,34,DE
Lichen Herbarium Berlin,3366,311,DE
DMNH Birds,3364,232,US
(Appendix) Relative abundance of planktonic foraminifera in ODP Site 138-846 late Quaternary sediments,3359,10,DE
FHSM Fish Collection,3348,36,US
Zoological Museum Amsterdam, University of Amsterdam (NL) - Platyhelminthes,3338,173,NL
Abundance of planktonic foraminifera in sediment core V12-122,3325,21,DE
Collection Aves (bird skeletons) SMF,3287,320,DE
Lichen herbarium, Oslo (O),3272,68,NO
Distribution of planktic foraminifera of sediment core M33/1_SL_NAST,3265,32,DE
JPB - Herbário Lauro Pires Xavier,3256,270,BR
Birds (GMBO-BI),3249,38,KR
(Table 4) Stratigraphic ranges of planktonic foraminifers in ODP Hole 144-872C,3248,28,DE
Recent Invertebrates Specimens,3228,1679,US
Flora Atlas N.T.,3225,45,AU
Museum of Zoology, University of Navarra,3220,1137,ES
RMT Trawl catch from the 1980/81 V5 FIBEX voyage (Australian Antarctic Data Centre),3217,73,
Relative abundance of planktic foraminifera in sediment core GeoB1312-2,3211,26,DE
Banc de dades de biodiversitat de Catalunya-FungaCat,3198,300,ES
A Dataset of Deep-Sea Fishes Surveyed by Research Vessels in the Waters around Taiwan,3184,299,TW
Abundance of benthic infauna in surface sediments from the North Sea sampled during cruise Tridens00/5,3181,219,DE
HAS-Algae - Coleção Ficológica do HAS,3169,227,BR
Distribution of foraminifera of sediment core ENAM93-21,3161,8,DE
Porcupine Marine Natural History Society - Marine flora and fauna records from the North-east Atlantic,3159,938,GB
Ministerio de Medio Ambiente, y Medio Rural y Marino. Dirección General de Medio Natural y Política Forestal. Inventario Nacional de Biodiversidad 2007, Mamíferos,3129,2,ES
Entocytheridae (Ostracoda) World Database,3119,148,ES
Entocytheridae (Ostracoda) World Database,3119,148,ES
Distribution of benthic foraminifers (dead) in surface sediments (Table 5),3060,76,DE
Foraminifera and stable isotopes of sediment core PS2076-3,3059,28,DE
Alga (KIWE-AG),3059,130,KR
(Table 3) Relative abundances of benthic foraminifera in ODP Hole 117-728A,3048,64,DE
Distribución y aspectos taxonómicos de los corales pétreos (Anthozoa: Scleractinia) del Pacífico mexicano,3045,98,MX
Biological Records Centre - Coccinellidae Data,3021,1,GB
Ohio State University Tetrapod Division - Bird Collection (OSUM),3018,228,US
ZOOLOGIA_FCNO_UDEC_CL Foraminiferos_01 (OBIS South America, SOUTH PACIFIC NODE),3014,23,
(Appendix 1) Census data of planktic foraminiferal faunas together with estimates of mean annual SST for DSDP Site 90-594,3007,15,DE
(Table 3) Planktonic foraminifers from ODP Hole 114-704A,2982,18,DE
Bird tissue collection, Natural History Museum, University of Oslo,2964,108,NO
Field Museum of Natural History (Zoology) Bird Egg Collection,2963,222,US
Riqueza específica, distribución y abundancia de aves acuáticas en la ensenada de La Paz, Baja California Sur, México,2963,36,MX
CAS Mammalogy (MAM),2962,64,US
(Table1) Abundance of planktonic foraminifera in DSDP Hole 75-532,2955,13,DE
Naturalis National Natural History Museum (NL) – Indo-Pacific Plio-Pleistocene fossils,2953,288,NL
E. C. Smith Herbarium (ACAD),2950,341,CA
LGM, planktic foraminifera (EPILOG version),2942,30,DE
Naturalis National Natural History Museum (NL) – Coelenterata,2908,551,NL
(Table A.01) Planktic foraminiferal census data of sediment core GIK23414-9,2905,17,DE
Australian National Herbarium (CANB),2898,382,AU
Herbarium of Umeå University (UME),2888,560,SE
Ground Beetle Recording Scheme - Carabid data for Great Britain from the Ground Beetle Recording Scheme held by BRC,2884,16,GB
Inventory of Antarctic seabird breeding sites,2883,13,AU
Parasitic Platyhelminthes Collections,2879,486,CH
(Table 4) Occurrence and estimated abundance of planktonic foraminifers at DSDP Site 85-573,2856,25,DE
Electronic Atlas of Ichthyoplankton on the Scotian Shelf of North America (OBIS Canada),2853,107,
CU Invertebrate Paleontology,2851,1038,US
NCSM Invertebrate Paleontology Collection,2842,336,US
Rocky Shore Macroalgae,2824,138,IE
Range table from planktonic foraminifers in ODP Hole 164-997A,2821,30,DE
Museu Paraense Emilio Goeldi -  ichthyology Collection,2818,167,BR
Vascular Plants, Field notes, Oslo (O),2816,18,NO
The Collection of Fungi of the Real Jardín Botánico of Madrid (MA-Fungi),2803,625,ES
Birds collection (ZO) of the Muséum national d'Histoire Naturelle (MNHN - Paris),2802,313,FR
Genebank, National Institute of Agrobiological Sciences,2788,332,JP
(Table 1) Stratigraphic ranges of planktonic foraminifers in ODP Hole 144-871A,2781,26,DE
(Appendix A) Abundance of benthic foraminifera in sediment core GIK17940-2,2780,66,DE
CONN,2770,484,US
Colección de Crustáceos Decápodos Marinos de las Costas Mexicanas (UANL),2767,241,MX
Cnidarios, poliquetos, crustáceos (decápodos) y quetognatos pelágicos del Golfo de California,2757,132,MX
Animal Sound Archive,2731,157,DE
(Appendix B) Percentages, total flux and fragmentation index of planktic foraminifera for core T89-40, Walvis Ridge (SE Atlantic),2730,16,DE
(Figure 2) Quaternary biostratigraphy and planktonic foraminifera of DSDP Hole 72-517,2727,25,DE
Distribution of foraminifera of sediment core GeoB1112-4,2723,22,DE
Marineplant (JBRI-SA),2699,152,KR
Collection Aves (spirit preserved) SMF,2698,354,DE
Bird Collection of Museum and Institute of Zoology PAS,2688,196,PL
Collection Echinodermata SMF,2679,716,DE
RMT Trawl catch from the 1995/96 V4 BROKE voyage,2668,81,AU
Benthic foraminifera distribution of sediment core GIK17957-2,2660,35,DE
Actualización y enriquecimiento de las bases de datos del proyecto de evaluación y análisis geográfico de la diversidad faunística de Chiapas,2659,237,MX
Merseyside BioBank - North Merseyside Fish (unverified),2655,53,GB
University of British Columbia Herbarium (UBC) - Bryophytes Collection,2651,5,CA
Relative abundance of planktic foraminifera in sediment core GeoB1523-1,2641,26,DE
Naturalis Biodiversity Center (NL) - Chelicerata and Myriapoda,2637,450,NL
(Table 1) Range table of planktonic foraminifers from ODP Hole 166-1006A sediments,2636,15,DE
Mollusk Collection of Yokosuka City Museum,2632,838,JP
Abundance of benthic infauna in surface sediments from the North Sea sampled during cruise Cirolana00/5,2629,182,DE
(Table T2) Plankontic foraminifera stratigraphy of ODP Hole 184-1146A,2628,18,DE
ESAS cetacean sightings from 1980 to 2003.,2617,21,IE
Distribution of planktic foraminifers of core Y71-09-101,2616,21,DE
CeDoc de Biodiversitat Vegetal: BCN- Algues de J. Rodríguez Femenías,2612,471,ES
Marine invertabrate(ECHINODERMATA) specimen database of Osaka Museum of Natural History,2612,558,JP
MAR-ECO (EurOBIS),2612,234,
Zoological Museum Amsterdam, University of Amsterdam (NL) - Bryozoa,2609,498,NL
