title,records,taxa,org_country
Molluscs collection (IM) of the Muséum national d'Histoire naturelle (MNHN - Paris),75649,8364,FR
iNaturalist research-grade observations,75546,4416,US
Marine and Coastal Management - Linefish Dataset (First Semester of 1987) (AfrOBIS),75411,87,
Point Reyes Bird Observatory - Point Counts,74517,60,US
Museo Nacional de Ciencias Naturales, Madrid: MNCN_ICTIO,73098,1090,ES
Historical Bird Atlas,73061,162,AU
Marine and Coastal Management - Linefish Dataset (First Semester of 1991) (AfrOBIS),72950,99,
Scottish Natural Heritage - Marine Nature Conservation Review (MNCR) and associated benthic marine data held and managed by Scottish Natural Heritage,71510,1741,GB
Marine and Coastal Management - Linefish Dataset (Second Semester of 1992) (AfrOBIS),71329,98,
Marine and Coastal Management - Linefish Dataset (First Semester of 1995) (AfrOBIS),70467,87,
Marine and Coastal Management - Demersal Surveys (years 1991-1995) (AfrOBIS),70141,392,
RSPB - Bird Conservation Targeting Project (BCTP) in the UK, archived data (2001-2008),69946,3,GB
Marine and Coastal Management - Linefish Dataset (First Semester of 1992) (AfrOBIS),69197,90,
Marine and Coastal Management - Linefish Dataset (First Semester of 1996) (AfrOBIS),67247,96,
Invertebrate Zoology Division, Yale Peabody Museum,66985,11004,US
Marine and Coastal Management - Linefish Dataset (Second Semester of 1991) (AfrOBIS),66461,91,
Marine and Coastal Management - Linefish Dataset (First Semester of 1986) (AfrOBIS),65712,84,
NatureServe Network Species Occurrence Data,65559,457,US
SLU Aqua  Institute of Freshwater Research Swedish Electrofishing Registry - SERS,65223,38,SE
Fauna Atlas N.T.,65086,139,AU
Marine and Coastal Management - Linefish Dataset (Second Semester of 1987) (AfrOBIS),64710,83,
Marine and Coastal Management - Linefish Dataset (Second Semester of 1988) (AfrOBIS),64268,88,
Marine and Coastal Management - Linefish Dataset (First Semester of 1998) (AfrOBIS),63776,91,
Marine and Coastal Management - Linefish Dataset (Second Semester of 1990) (AfrOBIS),63667,84,
CCAMLR historic KRILL,63364,1,
Long-term decline in krill stock and increase in salps within the Southern Ocean (SCAR-MarBIN: Antarctic OBIS),63364,1,
Marine and Coastal Management - Linefish Dataset (Second Semester of 1993) (AfrOBIS),63316,89,
Natural History Museum Rotterdam (NL) - Mollusca collection,62960,8924,NL
Lund Museum of Zoology (MZLU),62878,3816,SE
Marine and Coastal Management - Linefish Dataset (Second Semester of 1989) (AfrOBIS),61920,83,
Atlantic and Gulf Rapid Reef Assessment -Benthic (OBIS Australia),61822,59,
Fish specimens,61290,4962,CA
Marine and Coastal Management - Linefish Dataset (Second Semester of 1986) (AfrOBIS),60901,76,
The Fish Collection,60495,5337,DK
Bureau of Rural Sciences National commercial fisheries half-degree data set 2000-2002 (OBIS Australia),59947,377,
Ifremer BIOCEAN database (Deep Sea Benthic Fauna),58834,3582,FR
Marine and Coastal Management - Linefish Dataset (Second Semester of 1995) (AfrOBIS),58579,84,
Marine and Coastal Management - Linefish Dataset (First Semester of 1999) (AfrOBIS),58435,82,
Marine and Coastal Management - Linefish Dataset (Second Semester of 1994) (AfrOBIS),58370,87,
Marine and Coastal Management - Linefish Dataset (First Semester of 1997) (AfrOBIS),58188,92,
British Lichen Society - BLS Lichen Database: English churchyards,57977,57,GB
Marine and Coastal Management - Linefish Dataset (First Semester of 1994) (AfrOBIS),57793,105,
Marine and Coastal Management - Linefish Dataset (Second Semester of 1998) (AfrOBIS),55770,84,
Marine and Coastal Management - Demersal Surveys (years 1986-1990) (AfrOBIS),55498,301,
Marine and Coastal Management - Linefish Dataset (First Semester of 2000) (AfrOBIS),54068,77,
Planktic foraminifera counts in surface sediment samples,53445,30,DE
British Antarctic Survey Argos satellite tracking data,53062,12,GB
PIROP (Shipboard Surveys),52980,122,CA
Marine and Coastal Management - Linefish Dataset (Second Semester of 1996) (AfrOBIS),52586,88,
Pelagic Fish Observations 1968-1999,51282,130,AU
Field Museum of Natural History (Zoology) Fish Collection,51278,7522,US
Ichthyology Collection - Royal Ontario Museum,50541,4910,CA
Western Australian Museum provider for OZCAM,50169,4981,AU
Seaweeds of Ireland,49724,517,IE
Mollusca specimens of Toyama Science Museum,49607,2569,JP
Marine and Coastal Management - Linefish Dataset (Second Semester of 1997) (AfrOBIS),49432,88,
BioMar - LIFE project,48888,1146,IE
observe_tuna_bycatch_ecoscope,48393,67,FR
Fish Collection of Hokkaido University,48241,2385,JP
Dinoflagelados y Diatomeas del Pacífico tropical mexicano,47213,971,MX
Marine and Coastal Management - Linefish Dataset (Second Semester of 1999) (AfrOBIS),46923,75,
Vascular plants in Denmark recorded under the The Nationwide Monitoring and Assessment Programme for the Aquatic and Terrestrial Environments (NOVANA),46876,26,DK
Occurrence records of southern African aquatic biodiversity,46300,4568,ZA
CABI Bioscience Fungus Collection,46026,1775,
Finnish Winter Bird Census,44596,61,FI
Wiltshire and Swindon Biological Records Centre - Wiltshire & Swindon Site-based Survey Records,44383,223,GB
Marine and Coastal Management - Linefish Dataset (First Semester of 2001) (AfrOBIS),44228,71,
Marine and Coastal Management - Linefish Dataset (Second Semester of 1985) (AfrOBIS),43689,79,
Atlas of Danish Fishes,43477,50,DK
VIS - Fishes in estuarine waters in Flanders, Belgium,42690,73,BE
A Biological Survey of the Waters of Woods Hole and Vacinity,42150,1240,
Marine and Coastal Management - Linefish Dataset (Second Semester of 2000) (AfrOBIS),42138,73,
AMNH Bird Collection,42031,643,US
Tagged Seal Location Data from SOGLOBEC,41676,1,
Invertebrates of the Gothenburg Natural History Museum (GNM),41095,2006,SE
AIMS LTM Fish (OBIS Australia),40981,231,
British Lichen Society - BLS Mapping Scheme dataset, 1750-2009,40925,133,GB
Paleobiology Database,40771,9339,US
British Bryological Society - Bryophyte data for Great Britain from the British Bryological Society held by BRC,40124,5,GB
Composition of planktonic foraminifera species in 1123 surface sediment samples compared with sea surface temperatures from the Levitus Atlas,40034,22,DE
Marine Biological Association - DASSH Data Archive Centre Academic surveys,39769,1122,GB
QLD DERM Coastal Bird Atlas (Trial),39086,95,AU
Countryside Council for Wales - Pembrokeshire Marine Species Atlas,38824,2107,GB
Botanical Society of the British Isles - Vascular Plants Database,38732,25,GB
Tulane University Museum of Natural History,38411,1630,US
Marine and Coastal Management - Copepod Surveys (AfrOBIS),37756,4,
Inventaire National du Patrimoine Naturel : Atlas des poissons d'eau douce de France métropolitaine (2011),37734,55,FR
Marine and Coastal Management - Linefish Dataset (First Semester of 2004) (AfrOBIS),37603,62,
Bristol Regional Environmental Records Centre - BRERC October 2009,37220,443,GB
Marine and Coastal Management - Linefish Dataset (First Semester of 1985) (AfrOBIS),36621,73,
Ichthyology, Kagoshima University Museum,36162,2234,JP
Fish specimens of Fisheries Research Laboratory Mie University,35840,2227,JP
Environment Agency - Environment Agency freshwater invertebrate species (single species families),35227,2,GB
Marine and Coastal Management - Linefish Dataset (First Semester of 2005) (AfrOBIS),34836,66,
AIMS - Baited Remote Underwater Video Station (OBIS Australia),33717,670,
Marine species distributions in Irish coastal waters,33632,737,IE
Marine and Coastal Management - Demersal Surveys (years 2001-2005) (AfrOBIS),33196,326,
Marine and Coastal Management - Linefish Dataset (Second Semester of 2004) (AfrOBIS),32895,65,
Environment Agency - Environment Agency Rare and Protected Species records v1,32613,12,GB
Naturalis National Natural History Museum (NL) – Crustacea_Decapoda,32475,3892,NL
RSPB - Bird Conservation Targeting Project (BCTP) in the UK, 2004-2009,32351,3,GB
WFVZ Bird Collections,31289,469,US
CSIRO Ichthyology provider for OZCAM,31069,3659,AU
Field Museum of Natural History (Zoology) Invertebrate Collection,30912,4402,US
Naturalis National Natural History Museum (NL) – Invertebrate specimens from marine expeditions,30476,3692,NL
European Molecular Biology Laboratory Australian Mirror,29838,467,AU
Marine and Coastal Management - Linefish Dataset (Second Semester of 2001) (AfrOBIS),29567,75,
Marine and Coastal Management - Linefish Dataset (Second Semester of 2005) (AfrOBIS),29023,62,
Distribution of planktic foraminifera in surface sediments of the Atlantic Ocean (ATL947),28862,28,DE
Annelida collection of National Museum of Nature and Science,28771,832,JP
Biodiversity Research and Teaching Collections - TCWC Vertebrates,28738,2302,US
Canada Maritimes Regional Cetacean Sightings (OBIS Canada),28572,33,
South Western Pacific Regional OBIS Data All Sea Bio Subset (South Western P acific OBIS),28496,2330,
Fish specimen database of Osaka Museum of Natural History,28194,1588,JP
Historical hyperbenthos data (1987-2001) from the North Sea and some adjacent areas (EurOBIS),28048,483,
Countryside Council for Wales - 1996 - 2005 CCW Marine Intertidal Phase 1 species dataset,28012,590,GB
MedOBIS (EurOBIS),27960,2154,
Diversidad bentónica del ambiente intermareal e infralitoral somero de Progreso, Yucatán,27959,224,MX
Fish collection of National Museum of Nature and Science,27725,4171,JP
SANT-Algae,27591,779,ES
Crustaceans collection (IU) of the Muséum national d'Histoire naturelle (MNHN - Paris),27529,5220,FR
The national database for marine data (MADS),27250,235,DK
British Lichen Society - BLS Lichen Database: England,27059,96,GB
Canadian Museum of Nature Fish Collection,26964,1390,CA
University of Amsterdam (NL) – Benthos monitoring of the North Sea research database,26900,373,NL
South Australian Museum Australia provider for OZCAM,26788,1705,AU
Marine and Coastal Management - Linefish Dataset (Second Semester of 2002) (AfrOBIS),26628,65,
Botany (UPS),26461,2968,SE
UAM Mammal Collection (Arctos),26338,55,US
Marine and Coastal Management - Linefish Dataset (Second Semester of 2003) (AfrOBIS),25887,68,
Biological Records Centre - Ladybird Survey of the UK,25878,1,GB
ARABEL - Arachnologia Belgica,25704,37,BE
Natural Geography In Shore Areas (NaGISA) Dataset,25655,1866,
SysTax -  Zoological Collections,25631,7528,DE
The Brown University Foraminiferal Data Base (BFD),25471,30,DE
Tasmanian Museum and Art Gallery provider for OZCAM,25179,2075,AU
University of California Museum of Paleontology,25172,8402,US
DATAVES,25141,95,CO
Fish Collection of Yokosuka City Museum,25102,1234,JP
Marine and Coastal Management - Linefish Dataset (First Semester of 2003) (AfrOBIS),24943,67,
Collection Crustacea SMF,24941,2993,DE
Marine and Coastal Management - Linefish Dataset (First Semester of 2002) (AfrOBIS),24764,78,
Biogeography Scheldt Estuary (EurOBIS),24752,255,
Collection Pisces SMF,24591,4162,DE
Joint Nature Conservation Committee - Seabird 2000,24190,25,GB
Diveboard - Scuba diving citizen science observations,24033,3007,FR
Inventario Español de Especies Terrestres (MAGRAMA),23830,106,ES
BIOLOGICAL SCIENCES DATA,23806,465,GB
Colección de Diatomeas del Sur del Golfo de México (ICMyL-DF, UNAM),23779,408,MX
SP-Algae - Herbário do Estado Maria Eneyda P. Kaufmann Fidalgo - Coleção de Algas,23520,1387,BR
Pelagic Fish Observations 1968-1999 (Australian Antarctic Data Centre),23165,128,
Israel Nature and Parks Authority,22344,136,IL
North West Territories and Nunavut Bird Checklist, Canada,21858,90,CA
Mollusk data of Molltax, Norway,21646,393,NO
Fish Collection of Kanagawa Prefectural Museum of Natural History,21630,2400,JP
The Fish Database of Taiwan,21627,2800,TW
Macaulay Library Audio and Video Collection,21198,979,US
Weddell Seal Sightings, Vestfold Hills, Antarctica,21172,1,AU
The Second Atlas of Breeding Birds in Britain and Ireland: 1988-1991,21106,59,IE
IndOBIS, Indian Ocean Node of OBIS,20837,18032,IN
Distribution of planktic foraminifera in surface sediments of the Atlantic Ocean,20792,21,DE
Naturalis Biodiversity Center (NL) - Cainozoic Mollusca,20642,2521,NL
Lund Botanical Museum (LD),20361,950,SE
Sheffield Biological Records Centre - Sheffield Biological Records Centre- Non-sensitive Records from all taxonomic groups.,20351,266,GB
